lng,lat,streetname
149.1020789,-35.3571862, Fixed Speed Camera - Hindmarsh Dr; Canberra ACT; 1
151.677064,-30.449111, Speed Camera - New England Hwy 3  100; 83
151.69103,-30.395163, Speed Camera - New England Hwy 4  100; 84
151.71486,-30.006227, Speed Camera - New England Hwy 5  100; 85
151.720438,-30.084845, Speed Camera - New England Hwy 6  100; 86
151.68569,-30.125077, Speed Camera - New England Hwy 7  100; 87
151.273212,-32.653272, Speed Camera - New England Hwy 8  60; 88
150.860673,-31.459547, Speed Camera - New England Hwy 9  100; 89
151.230583,-33.876486, Speed Camera - New South Head Rd  60; 90
151.698,-32.907984, Speed Camera - Newcastle Rd  70; 91
149.129187,-35.279435, Speed Camera - Northbourne Ave 1  60; 92
149.129407,-35.275989, Speed Camera - Northbourne Ave 2  60; 93
149.134151,-35.247993, Speed Camera - Northbourne Ave 3  60; 94
150.876173,-34.491867, Speed Camera - Northcliffe Dr  60; 95
150.900489,-34.377938, Speed Camera - Northern Distributor 1  80; 96
150.900613,-34.378012, Speed Camera - Northern Distributor 2  80; 97
151.319792,-33.504398, Speed Camera - Ocean Beach Rd  60; 98
144.75009,-36.140435, Speed Camera - Ogilvie Ave  70; 99
151.0162789,-33.7171192, Speed Camera - Old Northern Rd  40; 100
152.823753,-31.181746, Speed Camera - Pacific Hwy 1  100; 101
151.613172,-33.134071, Speed Camera - Pacific Hwy 10  90; 102
152.730654,-31.582861, Speed Camera - Pacific Hwy 14  100; 103
152.965254,-30.69671, Speed Camera - Pacific Hwy 9  100; 104
151.692117,-32.983676, Speed Camera - Pacific Hwy Gateshead  60; 105
151.369752,-33.353415, Speed Camera - Pacific Hwy Ourimbah  60; 106
151.023266,-33.835874, Speed Camera - Parramatta Rd  60; 107
151.008135,-33.800862, Speed Camera - Pennant Hills Rd 1  60; 108
151.048973,-33.782557, Speed Camera - Pennant Hills Rd 2  60; 109
151.083767,-34.037544, Speed Camera - President Ave  60; 110
150.869738,-34.426982, Speed Camera - Princes Hwy 11  60; 111
150.604044,-34.869183, Speed Camera - Princes Hwy 12  70; 112
150.729576,-34.763152, Speed Camera - Princes Hwy 15  90; 113
150.686336,-34.774284, Speed Camera - Princes Hwy 16  60; 114
149.849126,-36.625164, Speed Camera - Princes Hwy 17  100; 115
151.136318,-33.968137, Speed Camera - Princes Hwy 18  60; 116
149.829067,-36.519236, Speed Camera - Princes Hwy 19  100; 117
151.136623,-33.967299, Speed Camera - Princes Hwy 20  60; 118
150.761436,-34.742239, Speed Camera - Princes Hwy 22  90; 119
150.913918,-34.330014, Speed Camera - Princes Hwy 4  60; 120
150.913627,-34.331576, Speed Camera - Princes Hwy 5  60; 121
149.83626,-36.630999, Speed Camera - Princes Hwy 9  100; 122
150.797334,-33.661195, Speed Camera - Richmond Rd  80; 123
150.883776,-34.406238, Speed Camera - Southern Fwy 1  80; 124
150.881356,-34.414762, Speed Camera - Southern Fwy 2  80; 125
150.8552166,-33.9029696, Speed Camera - Speed Camera 201  70; 126
151.245353,-33.809942, Speed Camera - Spit Rd  60; 127
151.342852,-33.358225, Speed Camera - Sydney Newcastle Fwy  110; 128
151.430839,-33.439497, Speed Camera - Terrigal Dr  60; 129
151.475018,-33.37174, Speed Camera - The Entrance Rd  60; 130
149.0632076,-35.3211441, Speed Camera - Tuggeranong Parkway  100; 131
151.210677,-33.841141, Speed Camera - Warringah Fwy  80; 132
151.225538,-33.752585, Speed Camera - Warringah Rd  70; 133
151.295146,-33.481144, Speed Camera - Woy Woy Bay  80; 134
